Data;ipca;BM;M1;M2;ln_BM;ln_M1;ln_M2
nov/13;0,54;221.547.350;316.979.581;1.940.434.536;19,21614689;19,57434792;21,38617777
dez/13;0,92;240.347.230;349.124.704;1.985.467.611;19,29759523;19,67093973;21,4091203
jan/14;0,55;235.625.338;333.355.173;1.971.127.279;19,27775355;19,62471907;21,40187144
fev/14;0,69;227.826.681;322.002.925;1.989.751.973;19,24409573;19,59007119;21,41127583
mar/14;0,92;223.141.949;321.470.023;2.004.771.520;19,22331867;19,58841486;21,41879594
abr/14;0,67;225.064.836;323.439.802;2.018.409.621;19,23189908;19,59452357;21,42557572
mai/14;0,46;222.889.174;317.257.781;2.037.576.287;19,22218523;19,57522519;21,43502684
jun/14;0,4;223.367.049;318.759.951;2.061.091.340;19,22432694;19,57994887;21,44650146
jul/14;0,01;225.994.071;320.326.008;2.068.935.938;19,23601932;19,58484981;21,45030027
ago/14;0,25;226.342.864;317.922.963;2.087.372.837;19,2375615;19,57731966;21,4591721
set/14;0,57;231.813.871;327.925.378;2.110.060.143;19,26144533;19,60829663;21,46998229
out/14;0,42;234.187.883;329.034.213;2.121.339.527;19,27163427;19,61167229;21,47531358
nov/14;0,51;236.042.054;331.258.675;2.146.852.154;19,27952054;19,61841012;21,48726849
dez/14;0,78;259.019.072;362.152.876;2.186.471.965;19,37241225;19,70757699;21,50555511
jan/15;1,24;253.143.092;343.797.138;2.164.354.124;19,34946547;19,65556233;21,49538783
fev/15;1,22;241.936.239;334.090.852;2.168.510.301;19,30418477;19,62692353;21,49730627
mar/15;1,32;240.742.528;328.802.402;2.183.104.350;19,29923857;19,61096753;21,50401371
abr/15;0,71;238.311.480;323.912.405;2.178.077.343;19,28908912;19,59598368;21,50170837
mai/15;0,74;232.080.485;318.914.527;2.193.636.407;19,26259479;19,58043368;21,50882646
jun/15;0,79;233.247.557;316.917.201;2.200.717.397;19,26761092;19,5741511;21,51204923
jul/15;0,62;234.080.416;318.268.214;2.210.374.249;19,27117527;19,57840503;21,51642768
ago/15;0,22;229.410.329;312.390.576;2.212.621.000;19,25102279;19,55976481;21,51744362
set/15;0,54;230.966.801;310.836.657;2.233.749.004;19,25778454;19,55477811;21,52694718
out/15;0,82;237.344.387;315.384.658;2.252.120.829;19,28502275;19,56930359;21,5351382
nov/15;1,01;237.068.635;315.102.771;2.269.537.065;19,28386026;19,5684094;21,54284171
dez/15;0,96;256.350.359;345.150.416;2.334.143.094;19,36205566;19,65949087;21,57091068
jan/16;1,27;251.652.820;331.050.008;2.300.666.103;19,343561;19,61778;21,55646453
fev/16;0,9;244.271.149;323.084.058;2.301.159.340;19,31378943;19,59342309;21,55667889
mar/16;0,43;241.117.782;318.046.218;2.301.406.917;19,30079609;19,57770727;21,55678648
abr/16;0,61;237.362.700;317.669.550;2.298.824.612;19,28509991;19,57652225;21,55566379
mai/16;0,78;238.375.730;317.328.438;2.312.333.789;19,28935868;19,57544788;21,56152315
jun/16;0,35;236.508.935;313.685.875;2.328.060.305;19,28149655;19,56390265;21,56830127
jul/16;0,52;237.508.676;318.298.994;2.335.393.825;19,28571471;19,57850173;21,57144638
ago/16;0,44;237.161.461;316.244.712;2.348.937.566;19,28425174;19,57202688;21,57722896
set/16;0,08;243.218.284;323.191.097;2.351.620.449;19,30946989;19,59375434;21,57837048
out/16;0,26;244.077.449;325.910.505;2.356.477.212;19,31299615;19,60213338;21,58043363
nov/16;0,18;243.446.509;325.517.068;2.387.236.146;19,3104078;19,60092545;21,59340211
